COD_SUCURSAL;COD_CLIENTE;SERIE;COD_TIPO_DOCUMENTO;DOCUMENTO;FECHA_EMISION;FECHA_VENCIMIENTO;SALDO;MORA
F2;3;FNN0;FN;0672324;13-07-2015;12-08-2015;334688;426
f2;3;FNN0;FN;0672482;13-07-2015;12-08-2015;164042;426
F2;3;FET0;FT;0135524;27-05-2016;26-06-2016;364854;107
F2;3;FET0;FT;0140998;29-06-2016;29-07-2016;364854;74
F2;3;FET0;FT;0141113;30-06-2016;30-07-2016;248101;73
f2;3;fet0;FT;0147462;29-07-2016;28-08-2016;260481;44
F2;3;FET0;FT;0147808;31-08-2016;30-09-2016;260481;11
F2;3;FET0;FT;0152693;28-09-2016;28-10-2016;260481;-17
g;3;fet0;FT;0148953;17-08-2016;16-09-2016;321300;25
G;3;FET0;FT;0148967;19-08-2016;19-09-2016;348075;22
G;3;FET0;FT;0149006;25-08-2016;26-09-2016;464100;15
G;3;FET0;FT;0149016;29-08-2016;28-09-2016;232050;13
G;3;FET0;FT;0149107;05-09-2016;05-10-2016;696150;6
g;3;fet0;FT;0149182;26-09-2016;26-10-2016;214200;-15
g;3;fet0;FT;0149183;26-09-2016;26-10-2016;232050;-15
G;3;FET0;FT;0149277;30-09-2016;31-10-2016;348075;-20
D;43;FET0;FN;0028934;29-09-2014;28-11-2014;536427;683
D;97;FET0;FT;0127035;31-05-2016;30-06-2016;100;103
D;97;FET0;FT;0142014;01-07-2016;01-08-2016;136344;71
D;97;fet0;FT;0142044;19-07-2016;18-08-2016;136344;54
D;97;fet0;FT;0142053;21-07-2016;22-08-2016;276956;50
D;97;fet0;FT;0142065;22-07-2016;22-08-2016;136344;50
D;97;FET0;FT;0142074;26-07-2016;25-08-2016;57394;47
D;97;fet0;FT;0142088;28-07-2016;29-08-2016;136344;43
D;97;FET0;FT;0142147;29-07-2016;29-08-2016;207717;43
D;97;fet0;FT;0142183;04-08-2016;05-09-2016;302091;36
D;97;fet0;FT;0142189;05-08-2016;05-09-2016;344061;36
D;97;fet0;FT;0142190;08-08-2016;07-09-2016;425868;34
D;97;fet0;FT;0142193;09-08-2016;08-09-2016;163613;33
D;97;fet0;FT;0142244;26-08-2016;26-09-2016;138478;15
D;97;fet0;FT;0142253;30-08-2016;29-09-2016;70638;12
D;97;FET0;FT;0142219;19-08-2016;19-09-2016;316792;22
D;97;FET0;FT;0142327;02-09-2016;03-10-2016;234986;8
D;97;fet0;FT;0142338;09-09-2016;10-10-2016;220284;1
D;97;fet0;FT;0142350;14-09-2016;14-10-2016;247553;-3
D;97;fet0;FT;0142356;20-09-2016;20-10-2016;163613;-9
D;97;fet0;FT;0142363;23-09-2016;24-10-2016;163613;-13
D;97;fet0;FT;0142367;23-09-2016;24-10-2016;163613;-13
D;97;FET0;FT;0142386;28-09-2016;28-10-2016;70638;-17
D;97;fet0;FT;0142392;29-09-2016;31-10-2016;163613;-20
d;100;an;an;0113716;24-08-2016;24-08-2016;-2000;48
D;101;FET0;FN;0027959;27-02-2014;31-03-2014;121394;925
D;101;FET0;FT;0142007;30-06-2016;01-08-2016;5;71
D;101;fet0;FT;0142017;04-07-2016;03-08-2016;71326;69
D;101;fet0;FT;0142023;06-07-2016;05-08-2016;147605;67
D;101;FET0;FT;0142080;26-07-2016;25-08-2016;36200;47
D;101;fet0;FT;0142177;02-08-2016;01-09-2016;71326;40
D;101;FET0;FT;0142205;12-08-2016;12-09-2016;71326;29
D;101;FET0;FT;0142259;30-08-2016;29-09-2016;42233;12
D;101;FET0;FT;0142265;30-08-2016;29-09-2016;106989;12
D;101;fet0;FT;0142377;27-09-2016;27-10-2016;71326;-16
D;128;fet0;FT;0062733;27-02-2015;30-03-2015;94024;561
D;128;FET0;FT;0086498;28-05-2015;29-06-2015;38551;470
D;128;FET0;FT;0127027;31-05-2016;30-06-2016;25537;103
D;128;fet0;FT;0142379;27-09-2016;27-10-2016;7618106;-16
D;128;fet0;FT;0142432;29-09-2016;31-10-2016;6066227;-20
D;144;FET0;FT;0027474;09-10-2013;08-11-2013;35313;1068
D;156;fet0;FT;0126895;29-04-2016;30-05-2016;6586650;134
D;156;fet0;FT;0127059;31-05-2016;30-06-2016;7470225;103
D;156;FET0;FT;0141968;29-06-2016;29-07-2016;7148925;74
D;156;FET0;FT;0142158;29-07-2016;27-09-2016;7068600;14
D;156;FET0;FT;0142308;31-08-2016;31-10-2016;7389900;-20
D;156;FET0;FT;0142444;30-09-2016;29-11-2016;6747300;-49
D;167;fet0;FT;0142026;07-07-2016;08-08-2016;45475;64
D;167;fet0;FT;0142211;17-08-2016;16-09-2016;39458;25
D;193;FET0;FT;0142171;29-07-2016;27-09-2016;2692970;14
D;193;FET0;FT;0142306;31-08-2016;31-10-2016;2519230;-20
D;193;FET0;FT;0142443;30-09-2016;29-11-2016;2779840;-49
c;249;fet0;FT;0129485;29-04-2016;30-05-2016;119000;134
c;249;fet0;FT;0137116;07-06-2016;07-07-2016;119000;96
c;249;fet0;FT;0137204;29-06-2016;29-07-2016;119000;74
c;249;FET0;FN;0137257;30-06-2016;01-08-2016;2785368;71
C;249;FET0;FN;0137486;27-07-2016;26-08-2016;2410399;46
c;249;fet0;FT;0137612;29-07-2016;29-08-2016;1934351;43
c;249;fet0;FT;0137616;29-07-2016;29-08-2016;119000;43
