COD_SUCURSAL;COD_CLIENTE;SERIE;COD_TIPO_DOCUMENTO;DOCUMENTO;FECHA_EMISION;FECHA_VENCIMIENTO;SALDO;MORA
F2;3;FNN0;FN;672324;13-07-2015;12-08-2015;334688;379
f2;3;FNN0;FN;672482;13-07-2015;12-08-2015;164042;379
F2;3;FET0;FT;135524;27-05-2016;26-06-2016;364854;60
F2;3;FET0;FT;140998;29-06-2016;29-07-2016;364854;27
F2;3;FET0;FT;141113;30-06-2016;30-07-2016;248101;26
f2;3;fet0;FT;147462;29-07-2016;28-08-2016;260481;-3
G;3;FET0;FT;139637;29-06-2016;29-07-2016;696150;27
G;3;FET0;FT;139678;07-07-2016;08-08-2016;696150;17
G;3;FET0;FT;139720;18-07-2016;17-08-2016;672945;8
G;3;FET0;FT;139744;21-07-2016;22-08-2016;696150;3
G;3;FET0;FT;139831;27-07-2016;26-08-2016;649740;-1
g;3;fet0;FT;139899;05-08-2016;05-09-2016;214200;-11
G;3;FET0;FT;139908;09-08-2016;08-09-2016;232050;-14
G;3;FET0;FT;139922;11-08-2016;12-09-2016;232050;-18
D;43;FET0;FN;28934;29-09-2014;28-11-2014;536427;636
D;97;fet0;FT;126811;08-04-2016;09-05-2016;344061;108
D;97;fet0;FT;126817;13-04-2016;13-05-2016;276956;104
D;97;fet0;FT;126822;14-04-2016;16-05-2016;136344;101
D;97;fet0;FT;126841;22-04-2016;23-05-2016;272689;94
D;97;fet0;FT;126847;26-04-2016;26-05-2016;245856;91
D;97;FET0;FT;126854;28-04-2016;30-05-2016;302091;87
D;97;fet0;FT;126884;28-04-2016;30-05-2016;276956;87
D;97;FET0;FT;126913;29-04-2016;30-05-2016;70638;87
D;97;fet0;FT;126981;27-05-2016;27-06-2016;109075;59
D;97;FET0;FT;126943;10-05-2016;09-06-2016;289523;77
D;97;fet0;FT;126959;18-05-2016;17-06-2016;289523;69
D;97;FET0;FT;127035;31-05-2016;30-06-2016;57394;56
D;97;fet0;FT;127077;09-06-2016;11-07-2016;274822;45
D;97;fet0;FT;127086;13-06-2016;13-07-2016;136344;43
D;97;fet0;FT;127093;17-06-2016;18-07-2016;247553;38
D;97;fet0;FT;127099;21-06-2016;21-07-2016;126319;35
D;97;fet0;FT;127113;24-06-2016;25-07-2016;247553;31
D;97;FET0;FT;141999;30-06-2016;01-08-2016;57394;24
D;97;FET0;FT;142014;01-07-2016;01-08-2016;136344;24
D;97;fet0;FT;142044;19-07-2016;18-08-2016;136344;7
D;97;fet0;FT;142053;21-07-2016;22-08-2016;276956;3
D;97;fet0;FT;142065;22-07-2016;22-08-2016;136344;3
D;97;FET0;FT;142074;26-07-2016;25-08-2016;57394;0
D;97;fet0;FT;142088;28-07-2016;29-08-2016;136344;-4
D;97;FET0;FT;142147;29-07-2016;29-08-2016;207717;-4
D;97;fet0;FT;142183;04-08-2016;05-09-2016;302091;-11
D;97;fet0;FT;142189;05-08-2016;05-09-2016;344061;-11
D;97;fet0;FT;142190;08-08-2016;07-09-2016;425868;-13
D;97;fet0;FT;142193;09-08-2016;08-09-2016;163613;-14
D;100;FET0;FT;142172;01-08-2016;01-08-2016;44356;24
d;100;an;an;113716;24-08-2016;24-08-2016;-2000;1
D;101;FET0;FN;27959;27-02-2014;31-03-2014;121394;878
D;101;fet0;FT;126938;09-05-2016;08-06-2016;106989;78
D;101;fet0;FT;126974;26-05-2016;27-06-2016;106989;59
D;101;fet0;FT;126961;18-05-2016;17-06-2016;180792;69
D;101;fet0;FT;127036;31-05-2016;30-06-2016;48266;56
