ID;CODCLIENTE;NRO DOCUMENTO;ESTADO
1;3;0672324;Cargado
2;3;0672482;Cargado
3;3;0135524;Cargado
4;3;0140998;Cargado
5;3;0141113;Cargado
6;3;0147462;Cargado
7;3;0147808;Cargado
8;3;0152693;Cargado
9;3;0148953;Cargado
10;3;0148967;Cargado
11;3;0149006;Cargado
12;3;0149016;Cargado
13;3;0149107;Cargado
14;3;0149182;Cargado
15;3;0149183;Cargado
16;3;0149277;Cargado
17;43;0028934;Cargado
18;97;0127035;Cargado
19;97;0142014;Cargado
20;97;0142044;Cargado
21;97;0142053;Cargado
22;97;0142065;Cargado
23;97;0142074;Cargado
24;97;0142088;Cargado
25;97;0142147;Cargado
26;97;0142183;Cargado
27;97;0142189;Cargado
28;97;0142190;Cargado
29;97;0142193;Cargado
30;97;0142244;Cargado
31;97;0142253;Cargado
32;97;0142219;Cargado
33;97;0142327;Cargado
34;97;0142338;Cargado
35;97;0142350;Cargado
36;97;0142356;Cargado
37;97;0142363;Cargado
38;97;0142367;Cargado
39;97;0142386;Cargado
40;97;0142392;Cargado
41;100;0113716;Cargado
42;101;0027959;Cargado
43;101;0142007;Cargado
44;101;0142017;Cargado
45;101;0142023;Cargado
46;101;0142080;Cargado
47;101;0142177;Cargado
48;101;0142205;Cargado
49;101;0142259;Cargado
50;101;0142265;Cargado
51;101;0142377;Cargado
52;128;0062733;Cargado
53;128;0086498;Cargado
54;128;0127027;Cargado
55;128;0142379;Cargado
56;128;0142432;Cargado
57;144;0027474;Cargado
58;156;0126895;Cargado
59;156;0127059;Cargado
60;156;0141968;Cargado
61;156;0142158;Cargado
62;156;0142308;Cargado
63;156;0142444;Cargado
64;167;0142026;Cargado
65;167;0142211;Cargado
66;193;0142171;Cargado
67;193;0142306;Cargado
68;193;0142443;Cargado
69;249;0129485;Cargado
70;249;0137116;Cargado
71;249;0137204;Cargado
72;249;0137257;Cargado
73;249;0137486;Cargado
74;249;0137612;Cargado
75;249;0137616;Cargado
76;249;0137720;Cargado
77;249;0137825;Cargado
78;249;0137854;Cargado
79;249;0151506;Cargado
80;249;0151641;Cargado
81;249;0151782;Cargado
82;249;0151790;Cargado
83;249;0126737;Cargado
84;249;0126909;Cargado
85;249;0142378;Cargado
86;262;0137673;Cargado
87;262;0137842;Cargado
88;262;0137856;Cargado
89;262;0151642;Cargado
90;262;0151643;Cargado
91;262;0151735;Cargado
92;262;0151736;Cargado
93;271;0110628;Cargado
94;271;0129415;Cargado
95;271;0136986;Cargado
96;271;0136991;Cargado
97;271;0136997;Cargado
98;271;0137066;Cargado
99;271;0137206;Cargado
100;271;0137244;Cargado
101;271;0137250;Cargado
102;271;0137260;Cargado
103;271;0137261;Cargado
104;271;0137262;Cargado
105;271;0137263;Cargado
106;271;0137264;Cargado
107;271;0137265;Cargado
108;271;0137355;Cargado
109;271;0137432;Cargado
110;271;0137489;Cargado
111;271;0137490;Cargado
112;271;0137491;Cargado
113;271;0137492;Cargado
114;271;0137493;Cargado
115;271;0137494;Cargado
116;271;0137495;Cargado
117;271;0137496;Cargado
118;271;0137497;Cargado
119;271;0137582;Cargado
120;271;0137583;Cargado
121;271;0137593;Cargado
122;271;0137595;Cargado
123;271;0137615;Cargado
124;271;0137786;Cargado
125;271;0137831;Cargado
126;271;0136997;Cargado
127;271;0137858;Cargado
128;271;0137859;Cargado
129;271;0137861;Cargado
130;271;0137862;Cargado
131;271;0137863;Cargado
132;271;0137864;Cargado
133;271;0137865;Cargado
134;271;0137866;Cargado
135;271;0151462;Cargado
136;271;0151463;Cargado
137;271;0151464;Cargado
138;271;0151497;Cargado
139;271;0151498;Cargado
140;271;0151723;Cargado
141;271;0151724;Cargado
142;271;0151725;Cargado
143;271;0151753;Cargado
144;272;0137207;Cargado
145;272;0137841;Cargado
146;272;0137847;Cargado
147;272;0151470;Cargado
148;272;0151474;Cargado
149;272;0137690;Cargado
150;272;0151572;Cargado
151;272;0151573;Cargado
152;272;0151574;Cargado
153;272;0151576;Cargado
154;272;0137783;Cargado
155;272;0151590;Cargado
156;272;0151608;Cargado
157;272;0151634;Cargado
158;272;0151637;Cargado
159;272;0151638;Cargado
160;272;0151754;Cargado
161;287;0110488;Cargado
162;287;0008791;Cargado
163;287;0129580;Cargado
164;287;0137208;Cargado
165;287;0137360;Cargado
166;287;0137362;Cargado
167;287;0137363;Cargado
168;287;0137364;Cargado
169;287;0137485;Cargado
170;287;0137788;Cargado
171;287;0137789;Cargado
172;287;0137870;Cargado
173;287;0137871;Cargado
174;287;0151644;Cargado
175;287;0151645;Cargado
176;287;0125351;Cargado
177;322;0046109;Cargado
178;322;0146985;Cargado
179;322;0147335;Cargado
180;322;0147449;Cargado
181;322;0153082;Cargado
182;341;0060557;Cargado
183;395;0137688;Cargado
184;395;0137697;Cargado
185;395;0137730;Cargado
186;397;0040348;Cargado
187;397;0040843;Cargado
188;397;0060781;Cargado
189;397;0084298;Cargado
190;397;0104177;Cargado
191;397;0110599;Cargado
192;397;0110600;Cargado
193;397;0117994;Cargado
194;397;0117995;Cargado
195;397;0010271;Cargado
196;397;0129333;Cargado
197;397;0137269;Cargado
198;397;0137698;Cargado
199;397;0137732;Cargado
200;397;0137818;Cargado
201;397;0137849;Cargado
202;397;0151543;Cargado
203;397;0151720;Cargado
204;397;0151731;Cargado
205;397;0151783;Cargado
206;397;0151794;Cargado
207;479;0009429;Cargado
208;479;0005063;Cargado
209;479;0113386;Cargado
210;479;0117958;Cargado
211;479;0001477;Cargado
212;479;0009458;Cargado
213;479;0137005;Cargado
214;479;0137451;Cargado
215;479;0137452;Cargado
216;479;0137453;Cargado
217;479;0137587;Cargado
218;479;0137588;Cargado
219;479;0137607;Cargado
220;479;0151489;Cargado
221;479;0151494;Cargado
222;479;0151514;Cargado
223;479;0151516;Cargado
224;479;0137345;Cargado
225;479;0151712;Cargado
226;479;0151713;Cargado
227;488;0137561;Cargado
228;488;0151495;Cargado
229;488;0151630;Cargado
230;488;0151648;Cargado
231;488;0151734;Cargado
232;509;0014469;Cargado
233;509;0045477;Cargado
234;509;0045827;Cargado
235;509;0088556;Cargado
236;509;0142772;Cargado
237;509;0142773;Cargado
238;509;0142824;Cargado
239;509;0142826;Cargado
240;509;0142927;Cargado
241;509;0142928;Cargado
242;561;0142809;Cargado
243;561;0142833;Cargado
244;597;0022688;Cargado
245;597;0419807;Cargado
246;597;0419821;Cargado
247;597;0419903;Cargado
248;597;0419918;Cargado
249;597;0433506;Cargado
250;597;0451069;Cargado
251;597;0451251;Cargado
252;597;0462664;Cargado
253;597;0477350;Cargado
254;597;0485314;Cargado
255;597;0492603;Cargado
256;597;0505057;Cargado
257;597;0583471;Cargado
258;597;0583577;Cargado
259;597;0595263;Cargado
260;597;0648983;Cargado
261;597;0657561;Cargado
262;597;0657647;Cargado
263;597;0022801;Cargado
264;597;0022803;Cargado
265;597;0022808;Cargado
266;618;0139592;Cargado
267;618;0139791;Cargado
268;618;0149023;Cargado
269;618;0149223;Cargado
270;644;0107533;Cargado
271;644;0005786;Cargado
272;644;0097185;Cargado
273;644;0098299;Cargado
274;644;0107148;Cargado
275;644;0107348;Cargado
276;644;0107540;Cargado
277;644;0107616;Cargado
278;644;0114739;Cargado
279;644;0114783;Cargado
280;644;0114879;Cargado
281;644;0114909;Cargado
282;644;0023223;Cargado
283;644;0036232;Cargado
284;644;0036980;Cargado
285;644;0041396;Cargado
286;644;0065675;Cargado
287;644;0098201;Cargado
288;644;0098212;Cargado
289;644;0098214;Cargado
290;644;0098224;Cargado
291;644;0098233;Cargado
292;644;0098253;Cargado
293;644;0098273;Cargado
294;644;0098279;Cargado
295;644;0098287;Cargado
296;644;0098295;Cargado
297;644;0098343;Cargado
298;644;0098353;Cargado
299;644;0098372;Cargado
300;644;0098388;Cargado
301;644;0098411;Cargado
302;644;0098412;Cargado
303;644;0098417;Cargado
304;644;0098423;Cargado
305;644;0098432;Cargado
306;644;0098445;Cargado
307;644;0098452;Cargado
308;644;0098457;Cargado
309;644;0098464;Cargado
310;644;0098485;Cargado
311;644;0107131;Cargado
312;644;0107188;Cargado
313;644;0107193;Cargado
314;644;0107214;Cargado
315;644;0107244;Cargado
316;644;0107250;Cargado
317;644;0107268;Cargado
318;644;0107280;Cargado
319;644;0107293;Cargado
320;644;0107298;Cargado
321;644;0107310;Cargado
322;644;0107316;Cargado
323;644;0107341;Cargado
324;644;0107344;Cargado
325;644;0107392;Cargado
326;644;0107400;Cargado
327;644;0107402;Cargado
328;644;0107430;Cargado
329;644;0107440;Cargado
330;644;0107441;Cargado
331;644;0107442;Cargado
332;644;0107443;Cargado
333;644;0107457;Cargado
334;644;0107470;Cargado
335;644;0107474;Cargado
336;644;0107486;Cargado
337;644;0107498;Cargado
338;644;0107504;Cargado
339;644;0107515;Cargado
340;644;0107531;Cargado
341;644;0107535;Cargado
342;644;0107590;Cargado
343;644;0114655;Cargado
344;644;0114664;Cargado
345;644;0114669;Cargado
346;644;0114690;Cargado
347;644;0114703;Cargado
348;644;0114714;Cargado
349;644;0114818;Cargado
350;644;0114838;Cargado
351;644;0114856;Cargado
352;644;0114859;Cargado
353;644;0114864;Cargado
354;644;0114868;Cargado
355;644;0114870;Cargado
356;644;0007333;Cargado
357;644;0115115;Cargado
358;644;0128824;Cargado
359;644;0129050;Cargado
360;644;0149100;Cargado
361;644;0149194;Cargado
362;644;0149206;Cargado
363;644;0149220;Cargado
364;644;0149224;Cargado
365;644;0149272;Cargado
366;644;0149278;Cargado
367;644;0149097;Cargado
368;665;0036562;Cargado
369;665;0149066;Cargado
370;665;0149082;Cargado
371;665;0149158;Cargado
372;665;0149225;Cargado
373;684;0110558;Cargado
374;685;0023314;Cargado
375;685;0036304;Cargado
376;685;0056503;Cargado
377;685;0657518;Cargado
378;685;0006392;Cargado
379;685;0023235;Cargado
380;685;0023271;Cargado
381;685;0036365;Cargado
382;685;0082536;Cargado
383;806;0084162;Cargado
384;806;0096055;Cargado
385;806;0114978;Cargado
386;806;0139469;Cargado
387;806;0139941;Cargado
388;806;0149021;Cargado
389;806;0149022;Cargado
390;806;0149026;Cargado
391;806;0149068;Cargado
392;806;0149090;Cargado
393;806;0149132;Cargado
394;806;0149153;Cargado
395;806;0149178;Cargado
396;806;0149204;Cargado
397;806;0149205;Cargado
398;806;0149226;Cargado
399;806;0149274;Cargado
400;806;0149282;Cargado
401;806;0551750;Cargado
402;887;0031108;Cargado
403;887;0084621;Cargado
404;887;0023273;Cargado
405;887;0041530;Cargado
406;887;0041648;Cargado
407;887;0056507;Cargado
408;887;0056709;Cargado
409;996;0036591;Cargado
410;996;0609651;Cargado
411;996;0036283;Cargado
412;996;0036674;Cargado
413;996;0036833;Cargado
414;996;0056433;Cargado
415;996;0056632;Cargado
416;996;0056787;Cargado
417;996;0061097;Cargado
418;996;0061272;Cargado
419;996;0061293;Cargado
420;996;0061371;Cargado
421;996;0061376;Cargado
422;996;0061387;Cargado
423;996;0061500;Cargado
424;996;0069538;Cargado
425;996;0069735;Cargado
426;996;0080413;Cargado
427;996;0080460;Cargado
428;996;0107240;Cargado
429;996;0114731;Cargado
430;996;0149018;Cargado
431;1006;0056990;Cargado
432;1102;0095435;Cargado
433;1102;0101099;Cargado
434;1102;0115177;Cargado
435;1102;0115405;Cargado
436;1102;0121161;Cargado
437;1102;0121434;Cargado
438;1102;0132239;Cargado
439;1102;0132562;Cargado
440;1102;0139187;Cargado
441;1104;0097882;Cargado
442;1122;0035213;Cargado
443;1122;0035362;Cargado
444;1122;0035496;Cargado
445;1122;0035695;Cargado
446;1122;0035783;Cargado
447;1122;0035864;Cargado
448;1122;0026075;Cargado
449;1122;0026265;Cargado
450;1122;0026433;Cargado
451;1122;0026457;Cargado
452;1122;0026673;Cargado
453;1122;0026691;Cargado
454;1122;0026771;Cargado
455;1122;0044002;Cargado
456;1122;0044022;Cargado
457;1122;0044098;Cargado
458;1122;0044172;Cargado
459;1122;0044385;Cargado
460;1122;0044457;Cargado
461;1122;0044686;Cargado
462;1168;0145085;Cargado
463;1168;0145378;Cargado
464;1168;0145591;Cargado
465;1168;0138305;Cargado
466;1168;0148860;Cargado
467;1168;0150720;Cargado
468;1179;0008422;Cargado
469;1179;0009082;Cargado
470;1179;0133446;Cargado
471;1179;0146878;Cargado
472;1179;0146886;Cargado
473;1179;0149464;Cargado
474;1179;0149471;Cargado
475;1179;0149538;Cargado
476;1179;0149542;Cargado
477;1179;0149545;Cargado
478;1179;0149546;Cargado
479;1179;0149555;Cargado
480;1179;0149609;Cargado
481;1179;0149619;Cargado
482;1179;0149638;Cargado
483;1179;0149743;Cargado
484;1179;0149755;Cargado
485;1179;0149762;Cargado
486;1179;0149894;Cargado
487;1179;0150033;Cargado
488;1180;0078579;Cargado
489;1180;0007427;Cargado
490;1180;0147647;Cargado
491;1180;0147649;Cargado
492;1180;0147809;Cargado
493;1180;0152554;Cargado
494;1180;0152694;Cargado
495;1200;0610068;Cargado
496;1200;0610455;Cargado
497;1200;0612514;Cargado
498;1200;0632127;Cargado
499;1200;0632200;Cargado
500;1200;0640461;Cargado
501;1200;0640956;Cargado
502;1200;0643327;Cargado
503;1200;0643369;Cargado
504;1200;0643414;Cargado
505;1200;0643446;Cargado
506;1200;0643505;Cargado
507;1200;0643546;Cargado
508;1200;0643607;Cargado
509;1200;0650717;Cargado
510;1200;0010108;Cargado
511;1200;0017564;Cargado
512;1200;0021579;Cargado
513;1200;0029250;Cargado
514;1200;0029272;Cargado
515;1200;0031158;Cargado
516;1200;0031762;Cargado
517;1200;0032395;Cargado
518;1200;0032399;Cargado
519;1200;0034202;Cargado
520;1200;0034796;Cargado
521;1200;0038582;Cargado
522;1200;0038583;Cargado
523;1200;0042209;Cargado
524;1200;0042731;Cargado
525;1200;0042778;Cargado
526;1200;0042832;Cargado
527;1200;0043645;Cargado
528;1200;0043649;Cargado
529;1200;0043650;Cargado
530;1200;0043832;Cargado
531;1200;0043834;Cargado
532;1200;0043918;Cargado
533;1200;0046019;Cargado
534;1200;0047473;Cargado
535;1200;0048005;Cargado
536;1200;0048084;Cargado
537;1200;0048136;Cargado
538;1200;0048187;Cargado
539;1200;0048483;Cargado
540;1200;0048511;Cargado
541;1200;0048642;Cargado
542;1200;0048691;Cargado
543;1200;0053256;Cargado
544;1200;0053692;Cargado
545;1200;0053951;Cargado
546;1200;0054599;Cargado
547;1200;0058356;Cargado
548;1200;0059524;Cargado
549;1200;0059538;Cargado
550;1200;0656927;Cargado
551;1200;0043003;Cargado
552;1200;00685860;Cargado
553;1200;0086909;Cargado
554;1200;0005445;Cargado
555;1200;0068096;Cargado
556;1200;0092794;Cargado
557;1200;0103181;Cargado
558;1200;0111444;Cargado
559;1200;0111700;Cargado
560;1200;0111727;Cargado
561;1200;0117354;Cargado
562;1200;0119144;Cargado
563;1200;0119329;Cargado
564;1200;0119384;Cargado
565;1200;0119521;Cargado
566;1200;0119829;Cargado
567;1200;0122143;Cargado
568;1200;0122284;Cargado
569;1200;0007815;Cargado
570;1200;0007817;Cargado
571;1200;0007818;Cargado
572;1200;0007820;Cargado
573;1200;0007821;Cargado
574;1200;0007822;Cargado
575;1200;0128082;Cargado
576;1200;0133634;Cargado
577;1200;0008947;Cargado
578;1200;0134392;Cargado
579;1200;0134393;Cargado
580;1200;0140135;Cargado
581;1200;0140222;Cargado
582;1200;0140302;Cargado
583;1200;0140278;Cargado
584;1200;0140584;Cargado
585;1200;0140794;Cargado
586;1200;7547;Cargado
587;1200;0144980;Cargado
588;1200;0145077;Cargado
589;1200;0145213;Cargado
590;1200;0145214;Cargado
591;1200;0145348;Cargado
592;1200;0145380;Cargado
593;1200;0145519;Cargado
594;1200;0145761;Cargado
595;1200;0145838;Cargado
596;1200;0133091;Cargado
597;1200;0145946;Cargado
598;1200;0148497;Cargado
599;1200;0148534;Cargado
600;1200;0148567;Cargado
601;1200;0148582;Cargado
602;1200;0148624;Cargado
603;1200;0148626;Cargado
604;1200;0148633;Cargado
605;1200;0148666;Cargado
606;1200;0148707;Cargado
607;1200;0148723;Cargado
608;1200;0148758;Cargado
609;1200;0148787;Cargado
610;1200;0148809;Cargado
611;1200;0148840;Cargado
612;1200;0148865;Cargado
613;1200;0148886;Cargado
614;1200;0148932;Cargado
615;1200;0150451;Cargado
616;1200;0150480;Cargado
617;1200;0150502;Cargado
618;1200;0150541;Cargado
619;1200;0150548;Cargado
620;1200;0150573;Cargado
621;1200;0150577;Cargado
622;1200;0150597;Cargado
623;1200;0150616;Cargado
624;1200;0150659;Cargado
625;1200;0150660;Cargado
626;1200;0150697;Cargado
627;1200;0150699;Cargado
628;1200;0150711;Cargado
629;1200;0150714;Cargado
630;1200;0150716;Cargado
631;1200;0150721;Cargado
632;1200;0150734;Cargado
633;1200;0150749;Cargado
634;1200;0150751;Cargado
635;1200;0150752;Cargado
636;1200;0150768;Cargado
637;1200;0150771;Cargado
638;1200;0150825;Cargado
639;1200;0150826;Cargado
640;1200;0150838;Cargado
641;1200;0150884;Cargado
642;1200;0150904;Cargado
643;1200;0150934;Cargado
644;1200;0150940;Cargado
645;1200;0150944;Cargado
646;1200;0150945;Cargado
647;1200;0150990;Cargado
648;1204;0123449;Cargado
649;1204;0123494;Cargado
650;1204;0124068;Cargado
651;1204;0133294;Cargado
652;1204;0136291;Cargado
653;1204;0146038;Cargado
654;1204;0146612;Cargado
655;1208;0112305;Cargado
656;1208;0009913;Cargado
657;1221;0079187;Cargado
658;1221;0087793;Cargado
659;1221;0092160;Cargado
660;1221;0093200;Cargado
661;1221;0095553;Cargado
662;1221;0096418;Cargado
663;1221;0102054;Cargado
664;1221;0106551;Cargado
665;1221;0108522;Cargado
666;1225;0147762;Cargado
667;1225;0147772;Cargado
668;1225;0147810;Cargado
669;1225;0152457;Cargado
670;1225;0152547;Cargado
671;1225;0152653;Cargado
672;1225;0152695;Cargado
673;1227;0123599;Cargado
674;1253;0072549;Cargado
675;1253;0072691;Cargado
676;1253;0078582;Cargado
677;1253;0116944;Cargado
678;1253;0007423;Cargado
679;1253;0135669;Cargado
680;1253;0135903;Cargado
681;1253;0141177;Cargado
682;1253;0147646;Cargado
683;1255;0009060;Cargado
684;1255;0587612;Cargado
685;1255;0602339;Cargado
686;1255;0627446;Cargado
687;1255;0636739;Cargado
688;1255;0052292;Cargado
689;1255;0054873;Cargado
690;1255;0007407;Cargado
691;1255;0067714;Cargado
692;1255;0135826;Cargado
693;1255;0147579;Cargado
694;1255;0147733;Cargado
695;1255;0147811;Cargado
696;1255;0152518;Cargado
697;1255;0152696;Cargado
698;1257;0092597;Cargado
699;1257;0007836;Cargado
700;1286;0147584;Cargado
701;1286;0147651;Cargado
702;1286;0147727;Cargado
703;1286;0147773;Cargado
704;1286;0152679;Cargado
705;1288;0152451;Cargado
706;1288;0128499;Cargado
707;1288;0141204;Cargado
708;1288;0141205;Cargado
709;1288;0141206;Cargado
710;1288;0141207;Cargado
711;1288;0141208;Cargado
712;1288;0141209;Cargado
713;1288;0141210;Cargado
714;1288;0141211;Cargado
715;1288;0141225;Cargado
716;1288;0141331;Cargado
717;1288;0010555;Cargado
718;1288;0010558;Cargado
719;1288;0010560;Cargado
720;1288;0141430;Cargado
721;1288;0147515;Cargado
722;1288;0147522;Cargado
723;1288;0147607;Cargado
724;1288;0147678;Cargado
725;1288;0147694;Cargado
726;1288;0147728;Cargado
727;1288;0147744;Cargado
728;1288;0147774;Cargado
729;1288;0147812;Cargado
730;1288;0152496;Cargado
731;1288;0152545;Cargado
732;1288;0152575;Cargado
733;1288;0152600;Cargado
734;1288;0152626;Cargado
735;1288;0152636;Cargado
736;1288;0152697;Cargado
737;1288;0152771;Cargado
738;1288;0152800;Cargado
739;1299;0113647;Cargado
740;1299;0113794;Cargado
741;1299;0114085;Cargado
742;1299;0126631;Cargado
743;1299;0142783;Cargado
744;1299;0142830;Cargado
745;1299;0146613;Cargado
746;1299;0146811;Cargado
747;1299;163009;Cargado
748;1299;0149764;Cargado
749;1302;0078420;Cargado
750;1307;0007290;Cargado
751;1307;0668118;Cargado
752;1307;0668272;Cargado
753;1307;0668386;Cargado
754;1307;0671071;Cargado
755;1307;0671246;Cargado
756;1307;0671482;Cargado
757;1307;0672116;Cargado
758;1307;0672168;Cargado
759;1307;0672336;Cargado
760;1307;0672439;Cargado
761;1307;0007118;Cargado
762;1307;0007126;Cargado
763;1307;0007249;Cargado
764;1307;0007500;Cargado
765;1307;0067535;Cargado
766;1307;0067751;Cargado
767;1307;0067835;Cargado
768;1307;0072335;Cargado
769;1307;0072421;Cargado
770;1307;0072626;Cargado
771;1308;0077126;Cargado
772;1308;0135528;Cargado
773;1308;0141387;Cargado
774;1308;0147813;Cargado
775;1308;0147931;Cargado
776;1308;0152698;Cargado
777;1332;0092720;Cargado
778;1434;0059786;Cargado
779;1434;an108527;Cargado
780;1434;0128468;Cargado
781;1434;0128576;Cargado
782;1434;0128267;Cargado
783;1434;0141004;Cargado
784;1434;0141388;Cargado
785;1434;0147893;Cargado
786;1434;0152484;Cargado
787;1434;0152514;Cargado
788;1434;0152606;Cargado
789;1434;0152609;Cargado
790;1434;0152699;Cargado
791;1435;0117811;Cargado
792;1435;0105990;Cargado
793;1438;0146240;Cargado
794;1468;0099941;Cargado
795;1468;0108528;Cargado
796;1468;0128352;Cargado
797;1468;0141333;Cargado
798;1468;0147585;Cargado
799;1468;0025078;Cargado
800;1468;0025421;Cargado
801;1468;0025776;Cargado
802;1468;0026104;Cargado
803;1468;0026473;Cargado
804;1468;0026820;Cargado
805;1468;0044183;Cargado
806;1468;0044490;Cargado
807;1468;0044823;Cargado
808;1468;0050127;Cargado
809;1468;0050686;Cargado
810;1468;0050984;Cargado
811;1468;0051241;Cargado
812;1468;0051540;Cargado
813;1468;0051826;Cargado
814;1468;0065201;Cargado
815;1468;0069054;Cargado
816;1468;0069388;Cargado
817;1468;0074179;Cargado
818;1468;0074426;Cargado
819;1468;0082026;Cargado
820;1468;0082255;Cargado
821;1468;0090780;Cargado
822;1468;0091012;Cargado
823;1468;0098062;Cargado
824;1468;0120826;Cargado
825;1470;0054029;Cargado
826;1470;0055027;Cargado
827;1470;0058146;Cargado
828;1470;0058941;Cargado
829;1470;0059788;Cargado
830;1470;0064542;Cargado
831;1470;0066362;Cargado
832;1470;0043374;Cargado
833;1470;0009207;Cargado
834;1470;0009639;Cargado
835;1470;0010357;Cargado
836;1474;0071457;Cargado
837;1474;0090297;Cargado
838;1474;0090511;Cargado
839;1474;0671094;Cargado
840;1474;0671390;Cargado
841;1474;0671450;Cargado
842;1474;0672141;Cargado
843;1474;0672201;Cargado
844;1474;0672327;Cargado
845;1476;0125769;Cargado
846;1476;0132801;Cargado
847;1476;0148695;Cargado
848;1489;0050128;Cargado
849;1489;0050389;Cargado
850;1489;0050687;Cargado
851;1489;0050985;Cargado
852;1489;0051242;Cargado
853;1489;0051827;Cargado
854;1489;0065202;Cargado
855;1489;0069055;Cargado
856;1489;0069389;Cargado
857;1489;0074180;Cargado
858;1489;0074427;Cargado
859;1489;0082027;Cargado
860;1489;0082256;Cargado
861;1489;0090781;Cargado
862;1489;0091013;Cargado
863;1489;0098063;Cargado
864;1489;0099478;Cargado
865;1489;0103542;Cargado
866;1489;0051785;Cargado
867;1549;0097396;Cargado
868;1552;0031933;Cargado
869;1552;0032997;Cargado
870;1552;0034356;Cargado
871;1552;0043155;Cargado
872;1552;0046132;Cargado
873;1595;0136263;Cargado
874;1595;0136293;Cargado
875;1595;0145961;Cargado
876;1595;0146040;Cargado
877;1595;0146614;Cargado
878;1595;0146812;Cargado
879;1595;0149729;Cargado
880;1595;0149765;Cargado
881;1603;0012089;Cargado
882;1603;0032604;Cargado
883;1603;0120395;Cargado
884;1603;0141362;Cargado
885;1603;0147547;Cargado
886;1603;0147655;Cargado
887;1603;0152452;Cargado
888;1603;0152542;Cargado
889;1603;0152557;Cargado
890;1603;0152687;Cargado
